link	count
https://www.edge-ai-vision.com/2015/3/conversation-with-gary-bradski-part-2-of-2	2.3684
https://www.edge-ai-vision.com/2011/12/embedded-vision-alliance-introduces-the-embedded-vision-academy-expands-membership-to-20-companies	2.3684
https://www.edge-ai-vision.com/2012/1/tobii-eye-tracking-user-interface-demonstration-at-the-2012-consumer-electronics-show	3.7368
https://www.edge-ai-vision.com/2011/6/most-promising-new-application-for-embedded-vision-star-wars-on-kinect	3.7368
https://www.edge-ai-vision.com/2011/9/emotions-in-motion-sentiment-discernment-comes-to-embedded-vision	2.3684
https://www.edge-ai-vision.com/2011/9/embedded-vision-gets-ayes-for-eyes-empowering-the-disenfranchised	2.3684
https://www.edge-ai-vision.com/2011/9/gesture-based-remote-controls-unclear-complexity-simplification-and-an-unclear-embedded-vision-application	5.1053
https://www.edge-ai-vision.com/2011/9/analytics-for-vehicle-parking-can-embedded-vision-come-knocking	3.7368
https://www.edge-ai-vision.com/2011/10/embedded-vision-insights-a-monthly-email-newsletter-were-confident-youll-like	2.3684
https://www.edge-ai-vision.com/2011/10/hdr-fusion-high-dynamic-range-imaging-software-for-free-today-only-no-delusion	2.3684
https://www.edge-ai-vision.com/2011/11/implementing-an-image-signal-processing-pipeline-using-fpgas-2	2.3684
https://www.edge-ai-vision.com/2012/2/embedded-vision-insights-february-16-2012-edition	6.4737
https://www.edge-ai-vision.com/2012/2/embedded-vision-insights-january-17-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/2/embedded-vision-insights-december-20-2011-edition	32.4737
https://www.edge-ai-vision.com/2012/2/embedded-vision-insights-november-15-2011-edition	7.8421
https://www.edge-ai-vision.com/2012/2/embedded-vision-insights-october-18-2011-edition	27.0000
https://www.edge-ai-vision.com/2012/2/embedded-vision-insights-september-20-2011-edition	28.3684
https://www.edge-ai-vision.com/2012/3/embedded-vision-insights-march-1-2012-edition	6.4737
https://www.edge-ai-vision.com/2012/3/embedded-vision-insights-march-13-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/4/embedded-vision-insights-april-3-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/4/embedded-vision-insights-april-17-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/5/embedded-vision-insights-may-1-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/5/embedded-vision-insights-may-15-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/6/embedded-vision-insights-june-5-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/6/embedded-vision-insights-june-19-2012-edition	5.1053
https://www.edge-ai-vision.com/2011/9/how-does-camera-performance-affect-analytics-2	2.3684
https://www.edge-ai-vision.com/2012/7/embedded-vision-insights-july-12-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/7/embedded-vision-insights-july-24-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/8/embedded-vision-insights-august-9-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/8/embedded-vision-insights-august-21-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/9/embedded-vision-insights-september-4-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/9/embedded-vision-insights-september-18-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/10/embedded-vision-insights-october-10-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/10/embedded-vision-insights-october-25-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/11/embedded-vision-insights-november-13-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/11/embedded-vision-insights-november-27-2012-edition	5.1053
https://www.edge-ai-vision.com/2012/12/embedded-vision-insights-december-10-2012-edition	5.1053
https://www.edge-ai-vision.com/2013/1/embedded-vision-insights-january-3-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/1/embedded-vision-insights-january-15-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/1/embedded-vision-insights-january-29-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/2/embedded-vision-insights-february-12-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/2/embedded-vision-insights-february-26-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/3/embedded-vision-insights-march-12-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/3/embedded-vision-insights-march-26-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/4/embedded-vision-insights-april-9-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/4/embedded-vision-insights-april-23-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/5/embedded-vision-insights-may-7-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/5/embedded-vision-insights-may-21-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/6/embedded-vision-insights-june-4-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/6/embedded-vision-insights-june-18-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/7/embedded-vision-insights-july-9-2013-edition	5.1053
https://www.edge-ai-vision.com/2013/7/embedded-vision-insights-july-23-2013-edition	5.1053
